1625237007.063265 client started (73073): version 3.2, socket /private/tmp/tmux-501/default, protocol 8
1625237007.063324 on Darwin 20.4.0 Darwin Kernel Version 20.4.0: Thu Apr 22 21:46:47 PDT 2021; root:xnu-7195.101.2~1/RELEASE_X86_64
1625237007.063352 using libevent 2.1.12-stable (select); utf8proc 2.6.1; ncurses 6.2
1625237007.066578 sending message 112 to peer 0x7fe799d31000 (10 bytes)
1625237007.066587 sending message 112 to peer 0x7fe799d31000 (5 bytes)
1625237007.066600 sending message 112 to peer 0x7fe799d31000 (15 bytes)
1625237007.066621 sending message 104 to peer 0x7fe799d31000 (0 bytes)
1625237007.066632 sending message 110 to peer 0x7fe799d31000 (0 bytes)
1625237007.066641 sending message 107 to peer 0x7fe799d31000 (4 bytes)
1625237007.066651 sending message 105 to peer 0x7fe799d31000 (14 bytes)
1625237007.066661 sending message 105 to peer 0x7fe799d31000 (20 bytes)
1625237007.066677 sending message 105 to peer 0x7fe799d31000 (22 bytes)
1625237007.066693 sending message 105 to peer 0x7fe799d31000 (23 bytes)
1625237007.066710 sending message 105 to peer 0x7fe799d31000 (47 bytes)
1625237007.066726 sending message 105 to peer 0x7fe799d31000 (40 bytes)
1625237007.066742 sending message 105 to peer 0x7fe799d31000 (30 bytes)
1625237007.066757 sending message 105 to peer 0x7fe799d31000 (55 bytes)
1625237007.066954 sending message 105 to peer 0x7fe799d31000 (14 bytes)
1625237007.069744 sending message 105 to peer 0x7fe799d31000 (75 bytes)
1625237007.069895 sending message 105 to peer 0x7fe799d31000 (47 bytes)
1625237007.069924 sending message 105 to peer 0x7fe799d31000 (92 bytes)
1625237007.069938 sending message 105 to peer 0x7fe799d31000 (15 bytes)
1625237007.069950 sending message 105 to peer 0x7fe799d31000 (36 bytes)
1625237007.069966 sending message 105 to peer 0x7fe799d31000 (66 bytes)
1625237007.069978 sending message 105 to peer 0x7fe799d31000 (39 bytes)
1625237007.070001 sending message 105 to peer 0x7fe799d31000 (1752 bytes)
1625237007.070015 sending message 105 to peer 0x7fe799d31000 (27 bytes)
1625237007.070027 sending message 105 to peer 0x7fe799d31000 (32 bytes)
1625237007.070038 sending message 105 to peer 0x7fe799d31000 (33 bytes)
1625237007.070050 sending message 105 to peer 0x7fe799d31000 (39 bytes)
1625237007.070074 sending message 105 to peer 0x7fe799d31000 (19 bytes)
1625237007.070086 sending message 105 to peer 0x7fe799d31000 (22 bytes)
1625237007.070097 sending message 105 to peer 0x7fe799d31000 (53 bytes)
1625237007.070107 sending message 105 to peer 0x7fe799d31000 (22 bytes)
1625237007.070117 sending message 105 to peer 0x7fe799d31000 (61 bytes)
1625237007.070127 sending message 105 to peer 0x7fe799d31000 (29 bytes)
1625237007.070137 sending message 105 to peer 0x7fe799d31000 (15 bytes)
1625237007.070146 sending message 105 to peer 0x7fe799d31000 (19 bytes)
1625237007.070156 sending message 105 to peer 0x7fe799d31000 (26 bytes)
1625237007.070166 sending message 105 to peer 0x7fe799d31000 (8 bytes)
1625237007.070175 sending message 105 to peer 0x7fe799d31000 (18 bytes)
1625237007.070185 sending message 105 to peer 0x7fe799d31000 (32 bytes)
1625237007.070194 sending message 105 to peer 0x7fe799d31000 (53 bytes)
1625237007.070203 sending message 105 to peer 0x7fe799d31000 (24 bytes)
1625237007.070212 sending message 105 to peer 0x7fe799d31000 (10 bytes)
1625237007.070221 sending message 105 to peer 0x7fe799d31000 (11 bytes)
1625237007.070230 sending message 105 to peer 0x7fe799d31000 (959 bytes)
1625237007.070240 sending message 105 to peer 0x7fe799d31000 (38 bytes)
1625237007.070250 sending message 105 to peer 0x7fe799d31000 (24 bytes)
1625237007.070259 sending message 105 to peer 0x7fe799d31000 (19 bytes)
1625237007.070269 sending message 105 to peer 0x7fe799d31000 (15 bytes)
1625237007.070280 sending message 105 to peer 0x7fe799d31000 (8 bytes)
1625237007.070291 sending message 105 to peer 0x7fe799d31000 (66 bytes)
1625237007.070300 sending message 105 to peer 0x7fe799d31000 (21 bytes)
1625237007.070314 sending message 105 to peer 0x7fe799d31000 (18 bytes)
